Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Intmax",1681344000,"2023-04-13",5000000,"Seed","stateless zkRollup","","L2","https://twitter.com/intmaxio/status/1646532963226763264","","","Hashkey Capital + Bitscale Capital + B Dash Ventures + SNZ Holding + Antalpha Ventures + Scroll + Mask Network + Dorahacks + East Ventures + MZ Web3fund + Tané + SGverse Pte. Ltd. + Hyperithm + Stacker Ventures + Cryptomeria Capital + WAGMI Ventures + Zephyrus Capital + Pragma Ventures​​ + TRGC + Alchemy Ventures + Big Candle Capital + BreakOrbit Ventures + HG Ventures + Meteorite Labs + Justin Drake + Scott Moore + Balaji Srinivasan + Anthony Sassano"
"Helio",1681344000,"2023-04-13",3300000,"Seed","Web3 payments for merchants","Peak + Lightspeed Faction","Web3","https://twitter.com/blockchain_wire/status/1646566505008578560","","Solana + Polygon + Ethereum","RockawayX + Solana Labs"
"Cat Labs",1681257600,"2023-04-12",4300000,"","digital asset recovery and cybersecurity tools to enable governments to fight crypto crime and to protect investors","Castle Island Ventures + Brevan Howard Digital + CMT Digital + RW3 Ventures","","https://twitter.com/CatCryptoLabs/status/1646138486037020672","","","Newark Venture Partners + Hash3 + Borderless Capital + Cryptoverse Ventures + Outshine Ventures"
"Xclaim",1681171200,"2023-04-11",7000000,"Series A","Bankruptcy trading platform","","","https://twitter.com/CoinDesk/status/1645774212248875009","","",""
"Ramper",1681171200,"2023-04-11","","Strategic ","Web3 Social Login","Coin98","","https://twitter.com/ramper_xyz/status/1645783579362983936","","",""
"RSSR3",1681171200,"2023-04-11",10000000,"Private token sale","Information protocol bridges web3 to AI, search, feed, and beyond","DWF Labs","","https://twitter.com/CoinDesk/status/1645789327274962948","","",""
"SOLA-X",1681171200,"2023-04-11",350000,"Seed","Frictionless DeFi protocol","vt3 Ventures","DeFi","https://twitter.com/solaxapp/status/1646064701778821120","8.75","Solana",""
"Pear Protocol",1681171200,"2023-04-11",1250000,"Seed","On-chain spread trading platform allowing users to create leveraged long and short positions on different assets","","DeFi","https://twitter.com/pear_protocol/status/1645802794631462918?s=20","","Arbitrum","Flow ventures + RNR Capital + Portico Ventures + JY Capital"
"Sei",1681171200,"2023-04-11",30000000,"Strategic ","L1","Jump Crypto","L1","https://twitter.com/CoinDesk/status/1645781733902622720?s=20","800","","Distributed Global + Multicoin Capital + Asymmetric + Flow Traders + Hypersphere Ventures + Bixin Ventures + OKG + Foresight Ventures + No Limit Holdings"
"Fingerlabs",1681084800,"2023-04-10",5000000,"Series A","NFT platform","Wemade Play","NFT","https://www.prnewswire.com/news-releases/fingerlabs-completes-series-a-funding-rounds-from-major-blockchain-and-game-companies-301793128.html","","",""
"Gameta",1681084800,"2023-04-10",5000000,"Seed","Multi-layered NFT Gaming Ecosystem","","Gaming","https://twitter.com/Gameta_Official/status/1645284903033143297","","BNB","Binance Labs + Huobi Ventures + Arcane Capital + Ceras Ventures + StartVC + Gate.io + W3Coins + Redline DAO + DefinanceX + Rana Capital Partners + Infinity Labs"
"CryptoGPT",1681084800,"2023-04-10",10000000,"Series A","a zero-knowledge layer 2 blockchain network attempting to leverage the success of artificial intelligence","DWF Labs","L2","https://twitter.com/CryptoGPT_org/status/1645431402958036992","250","",""
"Huddle01",1680825600,"2023-04-07",2800000,"Seed","Decentralized infrastructure & network that powers cross-chain audio & video communication between users","Hivemind Capital Partners","Infrastructure","https://twitter.com/huddle01com/status/1644338855947177985?s=20","","","Superscrypt  + M31 Capital + Protocol Labs + East Ventures + Longhash Ventures + Good News Ventures + Balaji Srinivasan + Stani Kulechov + Dan Romero + Juan Benet"
"Lore",1680739200,"2023-04-06",4000000,"Strategic ","Web3 Co-Ownership Platform","Multicoin Capital","NFT","https://twitter.com/CoinDesk/status/1644011251238838280","","Polygon + Solana + Ethereum","Seed Club Ventures + North Island Ventures + Balaji Srinivasan + Zeneca + Mischief Ventures + Sfermion + CMT Digital + Patricio Worthalter + Spice Capital + Sublime Venture"
"Steer Protocol",1680739200,"2023-04-06",1500000,"Seed","Off-chain compute protocol","Druid Ventures","Infrastructure","https://www.einnews.com/pr_news/626132587/steer-protocol-raises-1-5m-in-seed-funding-to-revolutionize-off-chain-computing-and-liquidity-management?fbclid=IwAR2IluN074hfUDYymkn7FN1z0GBOryVA_4_74SmEY28VCBs8k0fp5rrs__k","25","Arbitrum + Polygon + Ethereum","Republic Capital + Big Brain Holdings + Alpha Crypto + BuidlHodl + Sushi + Middle Class Capital"
"Opside",1680739200,"2023-04-06",4000000,"Seed","Three-layer platform providing ZKRollup as a Service","Web3.com","Infrastructure","https://twitter.com/OpsideZK/status/1643903115119427584","","",""
"Finst",1680652800,"2023-04-05",4400000,"Seed","CEX","Sentillia","Centralized Exchange","https://twitter.com/CoinDesk/status/1643479337507647491","","",""
"RACA",1680652800,"2023-04-05",16000000,"Seed","Web3 gaming ecosystem","DWF Labs","Gaming","https://twitter.com/m0labs/status/1643608136803135500","","","Tachyon + OKX Ventures"
"M^ZERO",1680652800,"2023-04-05",22500000,"Seed","Neutral Value Transmission Framework Able to Permissionlessly Mint Currencies Under Decentralized Governance","Pantera Capital","","https://twitter.com/m0labs/status/1643608136803135500","","","Salt Fund + Mouro Capital + Road Capital + AirTree Ventures + Standard Crypto + ParaFi Capital + Distributed Capital Partners + Kraynos Capital + Earlybird Venture Capital"
"Astria",1680566400,"2023-04-04",5500000,"Seed","Shared sequencer network","Maven11","","https://twitter.com/CoinDesk/status/1643291092899487758","","","1kx + Delphi Digital + Figment Capital + Lemniscap + Nurikabe + Anagram + Robot Ventures + Breed VC"
"Franklin",1680566400,"2023-04-04",2900000,"Seed","Crypto Payroll Company","gumi Cryptos Capital + CMT Digital","","https://twitter.com/CoinDesk/status/1643207310087421953","","","Arca"
"Nibiru Chain",1680566400,"2023-04-04",8500000,"Seed","DeFi hub","Tribe Capital + Republic Capital + NGC Ventures + Original Capital","DeFi","https://twitter.com/CoinDesk/status/1643281666683666433","100","",""
"LayerZero",1680566400,"2023-04-04",120000000,"Series B","Message passing between blockchains","a16z","Infrastructure","https://www.theblock.co/post/224762/layerzero-series-b","3,000","","Christie's + Sequoia Capital + Samsung Next + Bond + Circle Ventures + OpenSea Ventures"
"Ecosapiens",1680566400,"2023-04-04",3500000,"Seed","Carbon-Backed NFT Collection","Collab+Currency","NFT","https://www.finsmes.com/2023/04/ecosapiens-raises-3-5m-in-latest-seed-funding.html","","","gmoney + Shan Aggrawal + Ryan Carson"
"Bitget",1680566400,"2023-04-04",10000000,"","CEX","Dragonfly Capital","Centralized Exchange","https://twitter.com/Cointelegraph/status/1643200266513313792?s=20","","",""
"DappBack",1680566400,"2023-04-04",2500000,"Seed","NFT loyalty program for protocols and retail companies","Greenfield Capital + IOSG Ventures","Infrastructure","https://twitter.com/greenfield_cap/status/1643570444669157377?s=20","","",""
"Authlete",1680566400,"2023-04-04",4000000,"Series A","digital identity and API security standards","SBI Digital Asset Holdings","","https://www.prnewswire.com/apac/news-releases/authlete-raises-4m-in-series-a-funding-from-sbi-digital-asset-holdings-301788478.html","","",""
"Satsuma",1680566400,"2023-04-04",5000000,"Seed","Blockchain data indexing platform","Initialized Capital + Archetype Ventures","Infrastructure","https://twitter.com/satsumaxyz/status/1643314155913625600","","","OpenSea + Y Combinator + Homebrew + South Park Commons"
"Unstoppable DeFi",1680480000,"2023-04-03",3900000,"Public token sale","360 DEX spot/futures/custom orders/leverage/Single-Side LP","","DeFi","https://twitter.com/UnstoppableFi/status/1643006808229830657?s=20","19.5","Arbitrum",""
"GoJoe",1680480000,"2023-04-03",1480000,"","Social fitness app","Superbet Ventures","Gaming","https://twitter.com/animocabrands/status/1642751792365854720","","","Animoca Brands + Michael Carrick + Alistair Brownlee"
"SwissBorg",1680480000,"2023-04-03",23000000,"Series A","crypto asset management","","","https://twitter.com/swissborg/status/1642849136184532993","","",""
"Alchemy Pay",1680480000,"2023-04-03",10000000,"","Fiat-Crypto Payment Gateway","DWF Labs","","https://twitter.com/AlchemyPay/status/1642714932222529541","400","",""
"Ledger",1680134400,"2023-03-30",109000000,"","Hardware wallet","","Hardware","https://twitter.com/CoinDesk/status/1641438684171079680","1400","","10T Holdings + Cap Horn + Morgan Creek Digital + Cathay Innovation + True Global Ventures + Cite Gestion SPV + Digital Finance Group + VaynerFund"
"Polytrade",1680134400,"2023-03-30",3800000,"Seed","Web3 protocol focused on global trade","Alpha Wave + Matrix Partners + Polygon Ventures + CoinSwitch Ventures","DeFi","web3 protocol focused on global trade","","Polygon","Singularity Ventures + GTM Ventures"
"PoseiSwap",1680134400,"2023-03-30",1500000,"Strategic ","Dex","Zebec Labs","DEX","https://twitter.com/poseiswap/status/1641433216400883714","","Nautilus Chain","Eclipse + Notifi"
"Granary Finance",1680134400,"2023-03-30",5000000,"Public token sale","crosschain lending market","","DeFi","https://twitter.com/GranaryFinance/status/1641939272168095747","","Ethereum + Fantom + Optimism + Arbitrum + Avalanche + BNB",""
"LI.FI",1680134400,"2023-03-30",17500000,"Series A","provider of a multi-chain liquidity and data gateway,","CoinFund + Superscrypt","DeFi","https://twitter.com/fundinglist/status/1641710837466275840","","Ethereum + Polygon + Optimism + Fantom + BNB + Avalanche + Arbitrum + Gnosis + Celo + Harmony + Moonbeam","Bloccelerate + L1 Digital + Circle + Perridon Ventures + Theta Capital + Three Point Capital + Abra"
"Fetch.AI",1680048000,"2023-03-29",40000000,"Equity + Token","Fetch.AI develops a decentralized network for digital representatives to find, communicate, and trade with each other.","DWF Labs","","https://twitter.com/CoinDesk/status/1641093008480169992","250","Ethereum",""
"Econia Labs",1680048000,"2023-03-29",6500000,"Seed","hyper-parallelized on-chain order book","Dragonfly Capital","DeFi","https://twitter.com/EconiaLabs/status/1641113239202217984","","Aptos","Lightspeed Faction + Wintermute + Hudson River Trading + Flow Traders"
"So-Col",1679961600,"2023-03-28",1500000,"Private token sale","web3 social platform","DWF Labs","Social Platform","https://www.theblock.co/post/223353/so-col-funding-irene-zhao-web3-social-platform","","Ethereum",""
"LandVault",1679961600,"2023-03-28",3000000,"Series B1","metaverse construction firm","","Metaverse","https://twitter.com/TheBlock__/status/1640688233657823232","","","The Sandbox + The Gemini Frontier Fund + HodlCo + Kingsway Capital"
"EigenLayer",1679961600,"2023-03-28",50000000,"Series A","Ethereum restaking protocol ","Blockchain Capital","Liquid Staking Protocol","https://twitter.com/eigenlayer/status/1640754971435229184","500","Ethereum","Coinbase Ventures + Polychain Capital"
"Orderly Network",1679961600,"2023-03-28","","SAFT","trading infrastructure protocol ","CoinDCX Ventures","DEX","https://twitter.com/TheBlock__/status/1640700565058465792 ","200","Near",""
"Conduit",1679961600,"2023-03-28",7000000,"Seed","","Paradigm","Infrastructure","https://twitter.com/conduitxyz/status/1640731249311469570?s=20","","Optimism","Robert Miller + Ludwig Petterson + Dan Romero +  Guillaume Poncin + Joshua Ma +  Lakshman Sankar"
"Cega",1679875200,"2023-03-27",5000000,"Seed","Derivatives protocol","","DeFi","https://twitter.com/TheBlock__/status/1640383459016228869 ","","Solana",""
"Narwhal Finance",1679616000,"2023-03-24",1000000,"Seed","decentralized cross-market perpetual trading platform","Animoca Ventures","","https://twitter.com/Narwhal_Fi/status/1639239279045132289","","BSC + Arbitrum","Hailstone Ventures"
"Particle Network",1679616000,"2023-03-24",7000000,"Seed","mobile app data and development platform for Web3.0","","Infrastructure","https://twitter.com/TheBlock__/status/1639252360227586049 ","","","Animoca Brands + Longhash Ventures + GSR Ventures + HashKey + OP Crypto"
"Hadean",1679616000,"2023-03-24",5000000,"Series A+","Metaverse Infrastructure ","","Metaverse","https://twitter.com/hadeaninc/status/1639264219542568965?s=20","","","Ericsson Ventures + Metrea Discovery + VU Venture Partners + Sancta Capital + Tirta Ventures"
"Radix",1679529600,"2023-03-23",10000000,"","Layer 1 protocol focussed on DeFi","DWF Labs","L1","https://twitter.com/radixdlt/status/1638922996524957696","400","",""
"Aspecta",1679529600,"2023-03-23",3500000,"Seed","Web3 identity protocol","","Digital Identity","https://twitter.com/aspecta_id/status/1638400488386498561","","","ZhenFund + Hashkey Capital + Foresight Ventures + Galxe + Dorahacks + CyberConnect + Mask Network + P12 + Miracle Plus + UpHonest Capital + TSVC + Taihill Venture + The Y Startup Index + SNZ Capital + Infinity Ventures Crypto + Bing Ventures + Gate Labs + Emurgo Ventures"
"BitKeep",1679443200,"2023-03-22",30000000,"","decentralized multi-chain wallet ","Bitget","Web3","https://twitter.com/BitKeepOS/status/1638508093016518658 ","","Ethereum + BSC + OKExChain + Avalanche + Fantom + Polygon + Arbitrum + Solana + Tron + StarkNet + zkSync + Shardeum",""
"Carbonable",1679356800,"2023-03-21",1200000,"Seed","Ethereum-Based Carbon Tracker ","Ethereal Ventures + La Poste Ventures","DeFi","https://twitter.com/CoinDesk/status/1638073475838377984","","Ethereum","StarkWare"
"CrossX",1679356800,"2023-03-21",6350000,"Seed","Institutional execution-only crypto trading venue for spot and perps","","","https://twitter.com/crossover_mkts/status/1638166594290417664 ","","","Exness Ltd + Flow Traders + Gate.io + GMO Internet Group + Laser Digital + Pepperstone + Think Markets + TMGM + Two Sigma Ventures + Wintermute"
"CCP Games",1679356800,"2023-03-21",40000000,"Seed","Web3 game developer","a16z","Gaming","https://twitter.com/CCPGames/status/1638179932877512704 ","","","Makers Fund + BITKRAFT Ventures + Kingsway Capital + Hashed + Nexon"
"OP3N",1679356800,"2023-03-21",28000000,"Series A","platform that combines the best of Web2 and Web3 into a chat SuperApp","Animoca Brands","","https://twitter.com/TheBlock__/status/1638163101282455552 ","100","","Dragonfly Capital + Galaxy Digital + Republic Crypto + Connect Ventures"
"Gryfyn",1679356800,"2023-03-21",7500000,"","Digital Asset Custodial Wallet to access Web3 experiences","","Web3","https://twitter.com/TheBlock__/status/1638178375113261057","","","Liberty City Ventures + Mind Fund + GameFi Ventures + Lavender Hill Capital Partners + Animoca Ventures + LeadBlock Partners + Angel Hub + Brinc + Gabby Dizon"
"Aavegotchi",1679270400,"2023-03-20",30000000,"","Web3 game","","Gaming","https://twitter.com/CoinDesk/status/1637926175912738818 ","","Ethereum",""
"Megaton Finance",1679270400,"2023-03-20",1500000,"Seed","AMM-based DEX protocol to actively utilize the assets on the TON Network","TONcoin.fund","DeFi","https://twitter.com/ExchangeNews/status/1637768209888862210 ","","TON",""
"Metatime",1679270400,"2023-03-20",11000000,"Seed","SocialFi, GameFi, DEX","","","https://twitter.com/TheBlock__/status/1637846976581517312 ","","","Yildiz Tekno GSYO"
"Auros Global ",1679270400,"2023-03-20",17000000,"","algorithmic trading and market making firm","Vivienne Court","","https://twitter.com/Auros_global/status/1637984576558731264","","","Bit Digital Inc + Trovio + Epoch Capital + Primal Capital"
"Perpy",1679184000,"2023-03-19",5000000,"Public token sale","Web3 Social Trading protocol on Decentralized Perpetual Exchange","","DeFi","https://twitter.com/PerpyFinance/status/1637223318393593857","","Arbitrum",""
"Bravo Ready",1679011200,"2023-03-17","","Strategic ","Web3 game developer","Aptos","Gaming","https://twitter.com/BR1INFINITE/status/1636460462026924039 ","","Aptos",""
"Onchain Trade",1679011200,"2023-03-17",700000,"IFO","Swap, borrow, earn and trade perps","","DeFi","https://twitter.com/OnchainTrade/status/1636701190422446080 ","","Arbitrum + zkSync Era",""
"WINR Protocol",1679011200,"2023-03-17",4099000,"Private + Public","Decentralized On-chain Gaming","","Infrastructure","https://twitter.com/winrprotocol?s=21&t=7OsHIIyqUl5cqQ4TVJeSkQ","","Arbitrum",""
"Soul Wallet",1678924800,"2023-03-16",3000000,"Seed","A next-generation smart contract wallet powered by ERC-4337. Simply set up in seconds without recovery phrase","","Infrastructure","https://twitter.com/soulwallet_eth/status/1636419160602480643?s=20","","Ethereum","Struck Crypto + Game7 + NGC Ventures + Dispersion Capital + Ankr + Signum Capital + Tim Beiko + Terence.eth + David Hoffmann + Ryan Adams + Sassal.eth + Anthony Bertolino + Suji Yan + 𝚂𝚌𝚘𝚝𝚝 𝙼𝚘𝚘𝚛𝚎 + Nicholas Hu"
"Blueberry",1678924800,"2023-03-16",1200000,"Seed","leverage on-chain","","DeFi","https://twitter.com/BLBprotocol/status/1636473031873953795?s=20","","Ethereum","Bitscale Capital"
"Metalink",1678838400,"2023-03-15",6000000,"Seed","NFT, Real time Notifications","","NFT","https://twitter.com/metalinklabs/status/1636026941533990913?s=20","","","Sebastien Borget + Balaji Srinivasan + Arrington XRP Capital + Sound Ventures + gmoney + Meltem Demirors + Gemini Frontier Fund + Dapper Labs"
"Capsule",1678838400,"2023-03-15","","","Crypto wallet infrastructure","a16z","Infrastructure","https://twitter.com/TheBlock__/status/1635672233401020417 ","","",""
"Staging Labs",1678838400,"2023-03-15",1100000,"Preseed","Security Saferoot","","","https://twitter.com/BetaKit/status/1636754644524204032?s=20","","","NGC Ventures + The General Partnership + Gaingels + Flourish Ventures + AlphaGrep + ConsenSys + Coinbase + Anchorage Digital + Chainanalysis + Quicknode + Merkle Science + Mistral Venture Partners + Anwar Jeffrey + David Au-Yeung"
"Nuqtah",1678838400,"2023-03-15","","Seed","NFT Marketplace","Animoca Brands","NFT","https://twitter.com/NuqtahNFT/status/1635989434297401345?s=20","","Polygon","Polygon"
"Metacade",1678752000,"2023-03-14",15000000,"Token Pre-Sale","Community-driven GameFi platform","","Gaming","https://twitter.com/Metacade_/status/1641102040926396420?s=20","","",""
"Jungle",1678752000,"2023-03-14",6000000,"Seed","Web3 gaming studio publishinghybrid games that are mobile first and blockchain-enabled","Bitkraft VC + Framework Ventures","Gaming","https://twitter.com/0xJ010/status/1635304488142766081","","","Delphi Digital + 32-bit Ventures + 4RC + Bodhi Ventures + Karatage + Monoceros + Stateless Ventures + SNACKCLUB + Norte Ventures + Adrian Pang + Chris Gonsalves + Christian Manea + Joe Mahon + Kieran Warwick + Mario Augusto SA + Ray Jang"
"DRESSX",1678752000,"2023-03-14",15000000,"Series A","Digital Fashion plattform","Greenfield Capital","NFT","https://decrypt.co/123388/digital-fashion-house-dressx-raises-15-million","","","Slow Ventures + Warner Music Group + The Artemis Fund + Red DAO + Warner Music Group"
"Matchday",1678406400,"2023-03-10","","Seed","Combining video games, sports, and web3 in order to create an ecosystem of casual football (soccer) game","","Gaming","https://twitter.com/matchday/status/1633928140887142400 ","","","Play Time + Greylock Partners + Hack VC + Capricorn Investment Group + Courtside Ventures + Horizons Ventures + FJ Labs + Origins Fund + Yes VC"
"Proven",1678320000,"2023-03-09",15800000,"Seed","Zero-Knowledge Proof of Solvency Solution for Crypto","Framework Ventures","","https://twitter.com/CoinDesk/status/1633836845678362624","","","Balaji Srinivasan + Roger Chen + Ada Yeo + Naval Ravikant"
"Tonstarter",1678320000,"2023-03-09",1500000,"Seed","Launchpad on TON","","","https://twitter.com/ton_starter/status/1633411330630733825","","TON","Kingsway Capital + Gate.io + DWF Labs + Hexit + Orbs + Baboon VC"
"Wildxyz",1678320000,"2023-03-09",7000000,"Seed","Web3 art platform","Matrix Partners","NFT","https://twitter.com/wildxyz/status/1633851182589329410?s=20","","Ethereum","Gwyneth Paltrow + Reid Hoffman + Kevin Lin"
"Gyroscope",1678320000,"2023-03-09",4500000,"Seed","Fully-backed Stablecoins protocol","Placeholder + Galaxy","DeFi","https://twitter.com/GyroStable/status/1633841659300696072 ","","","Maven11 + Archetype + Robot Ventures"
"ECSA",1678320000,"2023-03-09",3000000,"Pre-Seed","ECSA offers a seamless solution for converting Brazilian Real to BRLe, a fully collateralized stablecoin","","DeFi","https://twitter.com/TheBlock__/status/1633831724689035267","","Stellar + Ethereum","Y Combinator + Arca"
"Mauve",1678320000,"2023-03-09",15000000,""," compliant DEX built on Violet","","DEX","https://twitter.com/violetidentity/status/1633830528712577029","","","Brevan Howard + Coinbase"
"Cubist",1678320000,"2023-03-09",7000000,"Seed","Web3 development tools","Polychain Capital","Infrastructure","https://twitter.com/cubistdev/status/1633837157310926851","","Polygon + Ethereum + Avalanche","Dao5 + Polygon + Amplify Partners + Axelar + Blizzard "
"Nealthy",1678233600,"2023-03-08",1300000,"Pre-Seed","Index tokens for NFTs and cryptocurrencies","","","https://twitter.com/nealthy_xyz/status/1633463321553965057 ","","","Don Geraldo"
"EtherMail",1678233600,"2023-03-08",4000000,"pre-Series A","Web 3.0 Email Solution ","Draper Associates","","https://twitter.com/TheBlock__/status/1633469582500347906 ","","","MS&AD Ventures"
"Toku",1678233600,"2023-03-08",20000000,"","token-based payroll and tax compliance solutio","Blockchain Capital","","https://twitter.com/usetoku/status/1633462085253484544","","","Protocol Labs + GMJP + OrangeDAO + Orrick + Reverie + Quantstamp + Next Web Capital + Nikil Viswanathan + Joe Lau"
"Relai",1678147200,"2023-03-07",4500000,"Seed+","Bitcoin investment platform","Ego Death Capital","","https://twitter.com/TheBlock__/status/1633074333240242183 ","20","Bitcoin","Lightning Ventures + Redalpine + Fulgur Ventures"
"Yuga Labs",1678147200,"2023-03-07",16500000,"TwelveFold Auction","Bitcoin ordinals","","NFT","https://twitter.com/tropoFarmer/status/1632878991089475584?s=20","","Bitcoin",""
